2019-01-24 08:46:11 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2019-01-24 08:46:11 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-01-24 08:46:11 status installed libc-bin:amd64 2.23-0ubuntu10
2019-01-24 08:46:11 trigproc man-db:amd64 2.7.5-1 <none>
2019-01-24 08:46:11 status half-configured man-db:amd64 2.7.5-1
2019-01-24 08:46:17 status installed man-db:amd64 2.7.5-1
2019-01-24 08:46:17 trigproc systemd:amd64 229-4ubuntu21.10 <none>
2019-01-24 08:46:17 status half-configured systemd:amd64 229-4ubuntu21.10
2019-01-24 08:46:17 status installed systemd:amd64 229-4ubuntu21.10
2019-01-24 08:46:17 trigproc ureadahead:amd64 0.100.0-19 <none>
2019-01-24 08:46:17 status half-configured ureadahead:amd64 0.100.0-19
2019-01-24 08:46:18 status installed ureadahead:amd64 0.100.0-19
2019-01-24 08:46:18 trigproc ufw:all 0.35-0ubuntu2 <none>
2019-01-24 08:46:18 status half-configured ufw:all 0.35-0ubuntu2
2019-01-24 08:46:18 status installed ufw:all 0.35-0ubuntu2
2019-01-24 08:46:18 startup packages configure
2019-01-24 08:46:18 configure libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1 <none>
2019-01-24 08:46:18 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2019-01-24 08:46:18 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:18 status half-configured libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:18 status installed libjpeg-turbo8:amd64 1.4.2-0ubuntu3.1
2019-01-24 08:46:18 configure libjbig0:amd64 2.1-3.1 <none>
2019-01-24 08:46:18 status unpacked libjbig0:amd64 2.1-3.1
2019-01-24 08:46:18 status half-configured libjbig0:amd64 2.1-3.1
2019-01-24 08:46:18 status installed libjbig0:amd64 2.1-3.1
2019-01-24 08:46:18 configure fonts-dejavu-core:all 2.35-1 <none>
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status unpacked fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status half-configured fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 status installed fonts-dejavu-core:all 2.35-1
2019-01-24 08:46:18 configure fontconfig-config:all 2.11.94-0ubuntu1.1 <none>
